time,cognitive_state
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:00,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Confused
22:58:01,Focused
22:58:01,Focused
22:58:01,Focused
22:58:01,Focused
22:58:01,Focused
22:58:01,Focused
22:58:01,Focused
22:58:01,Focused
22:58:01,Focused
22:58:01,Focused
22:58:01,Confused
22:58:01,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:02,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Confused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Focused
22:58:03,Confused
22:58:03,Confused
22:58:03,Confused
22:58:03,Confused
22:58:03,Confused
22:58:03,Confused
22:58:03,Confused
22:58:04,Confused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:04,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:05,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:06,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
22:58:07,Focused
